x y
1291.88108062068 114.37159897118896
1286.6547283014813 111.25423118905323
299.5208648823039 1499.9714144491043
1298.0419635221563 108.51178642509109
1386.693551976018 1211.9218920134956
998.354616574451 1286.1024011111087
694.4882235879992 621.2255048706346
298.23128829003866 1487.1821312608472
499.0408165510383 1014.0697002034599
807.8006897593458 907.0443121691792
211.85670010654187 1112.1784840235646
902.9426333804066 686.9130038713362
1391.0187047032287 1206.8851758012988
1392.978847335451 1197.2799039977328
1297.149282634805 101.60740048693715
1006.6821909292497 1303.5512509725068
299.4415186768372 1514.8880095547602
689.563657093008 596.9958195840147
1302.3765113015422 96.46080876146677
198.82226756152193 1108.2654154280558
192.2330408734688 1103.4161914597416
995.9118168362028 1298.0388521299985
210.04357204720753 1102.1824807667838
1388.6001513453525 1210.4799371216563
989.6355616530316 1305.1933335213207
699.5610126932802 606.6561061561586
1023.672294987442 1295.7053883421174
1393.5265110346486 1188.6267850193574
309.8470745572929 1484.0259621112352
702.070591665176 605.2469265730804
1293.2199860884261 91.68912749116258
798.604240495671 904.5246158995958
796.2641363700642 916.6310494657386
515.4999471860269 999.9404666153596
886.9632760680369 712.63107353773
205.59973396214562 1107.860304619967
295.6861229997326 1502.845275546563
806.3107775109347 890.7847955900725
296.29634998767244 1484.3440708118853
697.924589869576 606.9893748757374
811.7964687475886 904.3309280316475
486.78869249152064 1004.213664665293
888.514471129317 691.528245900071
995.2914323066612 1294.2660955981823
901.0915908347605 702.7001751561015
910.910057849448 707.32387154335
190.42270036280917 1102.162432267121
800.7048898930583 902.9182536365337
919.0851073035927 693.0643306239084
293.76351075092407 1490.6050537350545
787.9946986792495 900.5561461949669
507.34818392286434 983.3965859299486
808.9272712887158 884.9653362690759
905.0977901891704 717.8578054079601
302.1408059902531 1499.75421221334
510.6159211646146 990.8207223436808
995.8045848446735 1312.8396193155163
505.35830677120606 1007.9011177866705
291.11620542649064 1499.0123296070224
708.5301549836029 604.188093823115
1387.2104734480024 1195.461326445658
484.1750576819666 1013.5212167250813
908.3695108476933 698.7238937903503
704.3775403337543 596.4209029993859
1285.0601739762947 88.05043095468396
1410.8288127086166 1198.1496111548013
1378.1691994397042 1190.523309396019
710.237601876995 588.3410250869908
215.67589859918814 1113.7242231436942
697.5646082640234 597.9087202387443
1307.279369660296 98.69382058117509
1005.2968011445031 1293.8274898837446
191.94171066955494 1095.3738276215436
515.2770833932468 1002.2183244693421
1385.5312315595083 1195.4897014872054
497.1687435229745 1003.1504870818615
805.411484025455 879.1252962415912
795.6051934732552 900.9622134388479
503.19313634056346 991.1750110441753
996.9106440586107 1299.8084941328855
900.2983480946148 697.0970763938903
201.3494989346248 1110.0963934384251
189.1840377699902 1093.4023567586082
902.1669107094303 696.2079633038097
1299.9957677117593 97.75431058691646
296.79492245929134 1481.171360186565
695.1473288459335 594.1560464965659
1398.6522073958165 1190.3619058488307
1013.1492113057161 1300.4624761501802
1307.2303327353288 81.96819637658055
